task,metric,point_estimate,ci_lower,ci_upper,bootstrap_samples
Bandgap regression,MAE,0.20370714493443504,0.1619812592976595,0.25170783907351263,500
Bandgap regression,RMSE,0.4033840210871779,0.2690123651146679,0.531472437544943,500
Bandgap regression,R2,0.9402708703998147,0.8922857248933137,0.9737963333667944,500
Energy-above-hull regression,MAE,0.0217979534264631,0.018651447389938555,0.025129487617482994,500
Energy-above-hull regression,RMSE,0.037135217396134124,0.029283783752026896,0.04466038354909984,500
Energy-above-hull regression,R2,0.8469238513395752,0.7691920329741723,0.9019453211258728,500
Stability classification,ROC_AUC,0.956336273006135,0.926801415203018,0.9783561640213365,500
Stability classification,PR_AUC,0.9607488723353019,0.9338104499807836,0.9792327925742563,500
Stability classification,F1,0.8717948717948718,0.8248318624251539,0.9094497607655502,500
Stability classification,Balanced_Accuracy,0.8850891487730062,0.8459385247771072,0.9165919305845933,500
Stability classification,MCC,0.7645917976705209,0.6881783700233755,0.8303738984677176,500
