mpid,formula,canonical_formula,A,B1,B2,X,pred_bandgap_eV,actual_bandgap_eV,pred_hull_eV_atom,actual_hull_eV_atom,pred_stable_probability,actual_stable,screening_score,passes_filter,joint_actual_hit
mp-1205696,Cs2NaCrCl6,Cs2NaCrCl6,Cs,Na,Cr,Cl,1.4684143486039682,1.353208256284541,0.0016433628885763126,0.0079983245000017,0.9998650924643411,1,0.9830183216008765,True,1
mp-14038,Rb2NaRhF6,Rb2NaRhF6,Rb,Na,Rh,F,1.938840997382358,1.957,-0.004651549960582221,0.0,0.9999800077568206,1,0.9821219642676745,True,1
mp-1112527,Cs2NaTlCl6,Cs2NaTlCl6,Cs,Na,Tl,Cl,1.8709244356102663,1.9178354511324016,0.002348487085156737,0.0,0.9997299496673441,1,0.9754991341513252,True,1
mp-1112787,Cs2KCeBr6,Cs2KCeBr6,Cs,K,Ce,Br,1.8663430920947361,1.2059,0.002338004204920693,0.0,0.9981716989247159,1,0.9752845897953838,True,1
mp-1111634,Rb2InAgCl6,Rb2AgInCl6,Rb,Ag,In,Cl,1.3071096838504814,1.2930814391179064,-0.004920221615015994,0.0,0.9997943173390587,1,0.9750988864435222,True,1
mp-1111876,Cs2KMoCl6,Cs2KMoCl6,Cs,K,Mo,Cl,1.7094838668957397,1.6660029957657427,0.012596414554782883,0.0087200727500063,0.9995954250163224,1,0.9322230234653932,True,1
mp-989405,Cs2LiInBr6,Cs2LiInBr6,Cs,Li,In,Br,1.6201064324032557,1.5789,0.01772903112835227,0.0,0.9999234013243697,1,0.9102072943860904,True,1
mp-1112490,Cs2TlInCl6,Cs2InTlCl6,Cs,In,Tl,Cl,2.435939307769444,2.701507685788528,-0.003390860270450789,0.0,0.9971804827849452,1,0.8931032778931487,True,0
mp-1112710,Cs2KScI6,Cs2KScI6,Cs,K,Sc,I,2.4260233911698226,2.3666,0.0017807155167848707,0.0,0.9998119054975831,1,0.8857925120589332,True,1
mp-1111979,Cs2NaRhF6,Cs2NaRhF6,Cs,Na,Rh,F,1.9324822985330532,1.9082000000000003,0.021840542043441734,0.0,0.9999495582631407,1,0.876687165923034,True,1
