task,model,split,MAE,RMSE,R2,ROC_AUC,PR_AUC,F1,Balanced_Accuracy,MCC,Precision,Recall,threshold
Bandgap regression,Mean baseline,validation,1.384155159069567,1.719144410530573,-0.009952527475984851,,,,,,,,
Bandgap regression,Mean baseline,test,1.3438126333389917,1.6506902438908475,-0.00018416218588135358,,,,,,,,
Bandgap regression,Ridge,validation,0.48724981720917887,0.7741064623856939,0.7952246733670362,,,,,,,,
Bandgap regression,Ridge,test,0.42105037915799437,0.5725408120100361,0.8796733838552472,,,,,,,,
Bandgap regression,Extra Trees,validation,0.18669405166354885,0.38601972920281596,0.9490791968786394,,,,,,,,
Bandgap regression,Extra Trees,test,0.203707144934435,0.4033840210871779,0.9402708703998147,,,,,,,,
Bandgap regression,HistGB,validation,0.2569891602665782,0.45474312525053845,0.9293343227382244,,,,,,,,
Bandgap regression,HistGB,test,0.22629288586770024,0.3606392980084469,0.9522586272705835,,,,,,,,
Energy-above-hull regression,Mean baseline,validation,0.06250510728924609,0.08231546290571433,-0.0016172448113951354,,,,,,,,
Energy-above-hull regression,Mean baseline,test,0.06788540067638092,0.09491476331136878,-7.192752818907522e-06,,,,,,,,
Energy-above-hull regression,Ridge,validation,0.026583538475813663,0.04365844963922903,0.7182424500004256,,,,,,,,
Energy-above-hull regression,Ridge,test,0.030610148604571372,0.05089601262155915,0.7124567980503642,,,,,,,,
Energy-above-hull regression,Extra Trees,validation,0.021433883338082337,0.03749055443804996,0.7922300813102745,,,,,,,,
Energy-above-hull regression,Extra Trees,test,0.022625682830430614,0.04195446415742282,0.8046146744184272,,,,,,,,
Energy-above-hull regression,HistGB,validation,0.017723061300369283,0.026791754008745065,0.8938936836411041,,,,,,,,
Energy-above-hull regression,HistGB,test,0.0217979534264631,0.037135217396134124,0.8469238513395752,,,,,,,,
Stability classification,Majority baseline,validation,,,,0.5,0.42424242424242425,0.0,0.5,0.0,0.0,0.0,0.5
Stability classification,Majority baseline,test,,,,0.5,0.43986254295532645,0.0,0.5,0.0,0.0,0.0,0.5
Stability classification,Logistic regression,validation,,,,0.9164113988675393,0.8590998046139926,0.8461538461538461,0.8663324979114453,0.7276835700231827,0.8208955223880597,0.873015873015873,0.625
Stability classification,Logistic regression,test,,,,0.9219229294478528,0.9316034879498962,0.8699186991869918,0.8842264187116564,0.7768764388212895,0.9067796610169492,0.8359375,0.625
Stability classification,Extra Trees,validation,,,,0.936739998143507,0.9113948768524186,0.8528301886792453,0.8723893065998329,0.7376911635026611,0.8129496402877698,0.8968253968253969,0.4099999999999999
Stability classification,Extra Trees,test,,,,0.9509681748466257,0.9499813808355861,0.8593155893536122,0.8739215874233128,0.7443550481192319,0.837037037037037,0.8828125,0.4099999999999999
Stability classification,HistGB,validation,,,,0.9445372690986726,0.9184426477094721,0.8686131386861314,0.8874269005847952,0.7659124052774426,0.8040540540540541,0.9444444444444444,0.11499999999999999
Stability classification,HistGB,test,,,,0.956336273006135,0.9607488723353019,0.8717948717948718,0.8850891487730062,0.7645917976705209,0.8206896551724138,0.9296875,0.11499999999999999
