task,rank,feature,short_label,importance_mean
带隙回归,1,feat_B_max_d_valence,B_max_d_valence,0.14203068380250922
带隙回归,2,feat_phys_delta_chi_BX_mean,物理·delta_chi_BX_mean,0.1121791606214895
带隙回归,3,feat_phys_B_d_valence_mean,物理·B_d_valence_mean,0.08753793623263126
带隙回归,4,feat_B_mean_d_valence,B_均值·d_valence,0.06521412823149549
带隙回归,5,feat_B_mean_outer_electrons,B_均值·outer_electrons,0.0597472710667188
带隙回归,6,feat_B_max_outer_electrons,B_max_outer_electrons,0.04725927347850284
带隙回归,7,feat_B_mean_pauling_en,B_均值·pauling_en,0.04701094756829143
带隙回归,8,feat_orig_avg_d_valence_electrons,原始·avg_d_valence_electrons,0.04237146770244458
带隙回归,9,feat_B_max_first_ip_eV,B_max_first_ip_eV,0.04205909537016783
带隙回归,10,feat_B_max_mendeleev_number,B_max_mendeleev_number,0.03794689162960574
带隙回归,11,feat_B_min_mendeleev_number,B_min_mendeleev_number,0.03653493920191265
带隙回归,12,feat_B_absdiff_group,B_差值·group,0.03450825551391638
带隙回归,13,feat_B_absdiff_mendeleev_number,B_差值·mendeleev_number,0.03246741191482368
带隙回归,14,feat_phys_delta_chi_AX,物理·delta_chi_AX,0.0323822619849532
带隙回归,15,feat_B_contains_Ag,B_contains_Ag,0.030737287672685132
带隙回归,16,feat_B_min_polarizability_1e24cm3,B_min_polarizability_1e24cm3,0.030571582182716495
带隙回归,17,feat_B_max_pauling_en,B_max_pauling_en,0.028965744571857067
带隙回归,18,feat_comp_Ag_fraction,comp_Ag_fraction,0.02667917358171391
带隙回归,19,feat_B_mean_mendeleev_number,B_均值·mendeleev_number,0.025369631437247585
带隙回归,20,feat_phys_AX_radius_ratio,物理·AX_radius_ratio,0.022141503649334447
带隙回归,21,feat_B_min_d_valence,B_min_d_valence,0.022094846952588218
带隙回归,22,feat_B_mean_first_ip_eV,B_均值·first_ip_eV,0.020645496801885325
带隙回归,23,feat_orig_range_electronegativity,原始·range_electronegativity,0.020031724995261915
带隙回归,24,feat_phys_BX_radius_ratio,物理·BX_radius_ratio,0.01960835497015154
带隙回归,25,feat_phys_octahedral_factor_covalent_proxy,物理·octahedral_factor_covalent_proxy,0.017162027096347728
凸包能回归,1,feat_struct_AX_length_over_covalent_rsum,结构·AX_length_over_covalent_rsum,0.022661640334180968
凸包能回归,2,feat_phys_mass_ratio_A_to_Bmean,物理·mass_ratio_A_to_Bmean,0.0064572686170604994
凸包能回归,3,feat_A_atomic_mass,A·atomic_mass,0.004106132366825536
凸包能回归,4,feat_B_mean_first_ip_eV,B_均值·first_ip_eV,0.0029656540310587383
凸包能回归,5,feat_phys_B_oxidation_mean,物理·B_oxidation_mean,0.0023539716469460517
凸包能回归,6,feat_B_max_pauling_en,B_max_pauling_en,0.0022578877610481985
凸包能回归,7,feat_phys_BX_radius_ratio,物理·BX_radius_ratio,0.0018353252569263633
凸包能回归,8,feat_orig_range_atomicradius,原始·range_atomicradius,0.001657310213903087
凸包能回归,9,feat_B_max_vdw_radius_A,B_max_vdw_radius_A,0.0016489783413939166
凸包能回归,10,feat_B_min_pearson_hardness_eV,B_min_pearson_hardness_eV,0.0016068570885813143
凸包能回归,11,feat_phys_B_d_after_ox_mean,物理·B_d_after_ox_mean,0.0014283640712956132
凸包能回归,12,feat_struct_mean_bridge_bond_ratio,结构·mean_bridge_bond_ratio,0.0013525835506234423
凸包能回归,13,feat_phys_delta_chi_AX,物理·delta_chi_AX,0.001236476526274619
凸包能回归,14,feat_B_contains_Ta,B_contains_Ta,0.0012282555906500952
凸包能回归,15,feat_phys_delta_chi_BX_mean,物理·delta_chi_BX_mean,0.0011444520084361583
凸包能回归,16,feat_struct_lattice_a_A,结构·lattice_a_A,0.0011394590887974115
凸包能回归,17,feat_B_min_covalent_radius_A,B_min_covalent_radius_A,0.0011241355939070545
凸包能回归,18,feat_struct_BX_length_over_covalent_rsum,结构·BX_length_over_covalent_rsum,0.0011095386672000068
凸包能回归,19,feat_B_min_mendeleev_number,B_min_mendeleev_number,0.001062467142506514
凸包能回归,20,feat_B_mean_electron_affinity_eV,B_均值·electron_affinity_eV,0.0010229618748275702
凸包能回归,21,feat_B_mean_pearson_hardness_eV,B_均值·pearson_hardness_eV,0.000989000182843383
凸包能回归,22,feat_phys_B_ordering_drive_proxy,物理·B_ordering_drive_proxy,0.0009036413192748509
凸包能回归,23,feat_B_max_atomic_radius_A,B_max_atomic_radius_A,0.000846310265833965
凸包能回归,24,feat_B_absdiff_pauling_en,B_差值·pauling_en,0.000837403901729766
凸包能回归,25,feat_B_max_metallic_radius_A,B_max_metallic_radius_A,0.0008230101169946595
稳定性分类,1,feat_struct_AX_length_over_covalent_rsum,结构·AX_length_over_covalent_rsum,0.07199482361963194
稳定性分类,2,feat_phys_mass_ratio_A_to_Bmean,物理·mass_ratio_A_to_Bmean,0.01807898773006137
稳定性分类,3,feat_B_min_covalent_radius_A,B_min_covalent_radius_A,0.008325345092024549
稳定性分类,4,feat_struct_mean_A_shell_gap_ratio,结构·mean_A_shell_gap_ratio,0.004385544478527614
稳定性分类,5,feat_A_allred_rochow_en,A·allred_rochow_en,0.003067484662576725
稳定性分类,6,feat_orig_range_atomicradius,原始·range_atomicradius,0.002334164110429504
稳定性分类,7,feat_struct_mean_shell_gap_ratio,结构·mean_shell_gap_ratio,0.0020034509202453976
稳定性分类,8,feat_B_contains_Ta,B_contains_Ta,0.001797354294478548
稳定性分类,9,feat_phys_tolerance_covalent_proxy,物理·tolerance_covalent_proxy,0.0017685966257668829
稳定性分类,10,feat_phys_BX_radius_ratio,物理·BX_radius_ratio,0.0016343941717791965
稳定性分类,11,feat_B_absdiff_covalent_radius_A,B_差值·covalent_radius_A,0.0013755751533742755
稳定性分类,12,feat_phys_delta_chi_BX_mean,物理·delta_chi_BX_mean,0.0012940950920245608
稳定性分类,13,feat_phys_B_radius_mismatch_fraction,物理·B_radius_mismatch_fraction,0.0012365797546012747
稳定性分类,14,feat_struct_BX_length_over_covalent_rsum,结构·BX_length_over_covalent_rsum,0.0010736196319018343
稳定性分类,15,feat_B_absdiff_metallic_radius_A,B_差值·metallic_radius_A,0.0009537960122699696
稳定性分类,16,feat_phys_B_oxidation_absdiff,物理·B_oxidation_absdiff,0.0009250383435583043
稳定性分类,17,feat_struct_lattice_a_A,结构·lattice_a_A,0.0009106595092025049
稳定性分类,18,feat_B_max_pearson_hardness_eV,B_max_pearson_hardness_eV,0.0008675230061350181
稳定性分类,19,feat_orig_range_number,原始·range_number,0.0008339723926380716
稳定性分类,20,feat_B_absdiff_mendeleev_number,B_差值·mendeleev_number,0.0007956288343558438
稳定性分类,21,feat_struct_lattice_angle_cv,结构·lattice_angle_cv,0.0007860429447853146
稳定性分类,22,feat_struct_measured_tolerance_AX_over_sqrt2_BX,结构·measured_tolerance_AX_over_sqrt2_BX,0.0007572852760736271
稳定性分类,23,feat_B_absdiff_polarizability_1e24cm3,B_差值·polarizability_1e24cm3,0.0006853911042945304
稳定性分类,24,feat_B_mean_atomic_radius_A,B_均值·atomic_radius_A,0.0006662193251534054
稳定性分类,25,feat_phys_AX_radius_ratio,物理·AX_radius_ratio,0.0006182898773006262
