task,repeat,fold,train_size,valid_size,MAE,RMSE,R2,ROC_AUC,PR_AUC,F1,Balanced_Accuracy,MCC
Bandgap regression,1,1,896,299,0.19618858334051914,0.4150186875381164,0.9337979302681143,,,,,
Bandgap regression,1,2,897,298,0.23580961092769137,0.4791707423192824,0.9128291079837588,,,,,
Bandgap regression,1,3,896,299,0.25175014677196533,0.5874175585691591,0.8855814000307594,,,,,
Bandgap regression,1,4,896,299,0.22129624416514965,0.43522426267515235,0.9362175229050845,,,,,
Bandgap regression,2,1,896,299,0.20071286997634008,0.4286784519371685,0.9339239488133498,,,,,
Bandgap regression,2,2,897,298,0.20279863542068627,0.3661174817394851,0.954909469440729,,,,,
Bandgap regression,2,3,896,299,0.22883077144361574,0.5034250054180803,0.9111463744145094,,,,,
Bandgap regression,2,4,896,299,0.25202392559258446,0.5711260940178531,0.8749776915043477,,,,,
Bandgap regression,3,1,897,298,0.2149902280830734,0.4335009794834711,0.9331548861514498,,,,,
Bandgap regression,3,2,896,299,0.22708432269094864,0.49576521192260076,0.912186958227915,,,,,
Bandgap regression,3,3,896,299,0.21213392705441236,0.4310190470503699,0.9308982868546498,,,,,
Bandgap regression,3,4,896,299,0.18338397687909014,0.3019861163666932,0.968724875348313,,,,,
Energy-above-hull regression,1,1,1253,417,0.018896839747751356,0.03090854187462066,0.8747266325934936,,,,,
Energy-above-hull regression,1,2,1252,418,0.019084643372189913,0.04054130824652863,0.7944884618063114,,,,,
Energy-above-hull regression,1,3,1253,417,0.021852375812116107,0.046399933118066256,0.7800827428397622,,,,,
Energy-above-hull regression,1,4,1252,418,0.020311783664399282,0.0327016241530876,0.8656164190428823,,,,,
Energy-above-hull regression,2,1,1253,417,0.018772275115964073,0.03846955112911362,0.8216923655574028,,,,,
Energy-above-hull regression,2,2,1252,418,0.020341550145797322,0.03467472395448244,0.8549027838236462,,,,,
Energy-above-hull regression,2,3,1252,418,0.021279281108175112,0.04626854111107189,0.7461522481865916,,,,,
Energy-above-hull regression,2,4,1253,417,0.020366602692273316,0.03303350338756924,0.8693645372041177,,,,,
Energy-above-hull regression,3,1,1253,417,0.021411232339018503,0.04278115472862914,0.8055700652189564,,,,,
Energy-above-hull regression,3,2,1252,418,0.019986693814073923,0.04437219505706802,0.7443354115964728,,,,,
Energy-above-hull regression,3,3,1252,418,0.020416418601698228,0.03298730877768802,0.8514682474382418,,,,,
Energy-above-hull regression,3,4,1253,417,0.018617669097257813,0.030395330075817864,0.8952001564049978,,,,,
Stability classification,1,1,1253,417,,,,0.9525205976818881,0.9277198378036382,0.8586956521739131,0.872783130847647,0.7472726441241055
Stability classification,1,2,1251,419,,,,0.9592505422492962,0.9508894869714333,0.8698060941828255,0.883416401310628,0.7725403596243561
Stability classification,1,3,1253,417,,,,0.9619466554950425,0.9602776631902901,0.8770053475935828,0.8889121631057115,0.7770470530126214
Stability classification,1,4,1253,417,,,,0.9747903075489284,0.9692150899701026,0.9066666666666666,0.9163560111835974,0.8306823109778315
Stability classification,2,1,1251,419,,,,0.9686879874475057,0.964877605467142,0.8810810810810811,0.8931076653283492,0.7871057734804723
Stability classification,2,2,1253,417,,,,0.969208211143695,0.9649864817232809,0.8969359331476323,0.9068216729507053,0.8208779204316782
Stability classification,2,3,1253,417,,,,0.9505655634687893,0.9448056672637769,0.8697916666666666,0.8818251640832286,0.7601553426460981
Stability classification,2,4,1253,417,,,,0.9527493010251631,0.9252624234214378,0.875,0.8877213420316868,0.7763294940463503
Stability classification,3,1,1251,419,,,,0.9544049102404357,0.9464180560365065,0.8647214854111406,0.8780862061008814,0.7543469769476224
Stability classification,3,2,1253,417,,,,0.9544734389561975,0.956549657453399,0.8756756756756757,0.8882688723205965,0.776537744641193
Stability classification,3,3,1253,417,,,,0.9467253176930597,0.9286712251597501,0.862533692722372,0.8759949727691663,0.7523928145270259
Stability classification,3,4,1253,417,,,,0.9762137504072989,0.9745276621235235,0.918918918918919,0.9266862170087977,0.8543074625504271
