task,metric,mean,std,q2.5,q97.5,n_folds
Bandgap regression,MAE,0.21891693686217306,0.02145161888123089,0.18690524365598313,0.25194863641691423,12
Bandgap regression,RMSE,0.454037469919786,0.0801320637483452,0.31962224184421095,0.5829374058175499,12
Bandgap regression,R2,0.9240290376619149,0.026525421857974924,0.8778937113491109,0.9649256387237274,12
Energy-above-hull regression,MAE,0.020111447125892915,0.001083144390817837,0.018660185752402036,0.021731061357014265,12
Energy-above-hull regression,RMSE,0.03779447630114528,0.0060723441417960934,0.030536463320488632,0.0463638003161428,12
Energy-above-hull regression,R2,0.8253000059760729,0.051055309330077764,0.7448350416587555,0.8895699373568342,12
Stability classification,ROC_AUC,0.9601280486131084,0.009916255521505043,0.9477813852813853,0.975822303621247,12
Stability classification,PR_AUC,0.9511834047153568,0.01692861816923168,0.925938212376543,0.9730667047813327,12
Stability classification,F1,0.8797360178533732,0.01850337888881395,0.8597511133247393,0.9155495495495496,12
Stability classification,Balanced_Accuracy,0.8916649849200832,0.016662211071336506,0.8736663873760648,0.9238454104068676,12
Stability classification,MCC,0.7841329914174818,0.033820062767781114,0.7486806909849086,0.8478105458679633,12
